assetKey,sourceAssetKind,role,ownerKind,ownerMigrationKey,ownerTitle,ownerYear,ownerCategory,historicalDisposition,normalizedDisposition,targetBucket,targetStoragePathRedacted,targetDatabaseReferenceKind,targetDatabaseReferenceKey,sourceSha256,sourceFilename,sourceMimeType,sourceSizeBytes,privacyStatus,reviewStatus,evidenceFiles,notes,reviewDecision,ownerComment,verifiedAt,verifiedBy
"source-only:wix:asset-source:02b88cb2aa949f804f14b47954452a6b2b7dfc2cfc78e9b47aa9925ad3785196","image","unknown","unresolved","","","","","skip","accepted-skip","","","","","02b88cb2aa949f804f14b47954452a6b2b7dfc2cfc78e9b47aa9925ad3785196","source-02b88cb2aa94.jpg","image/jpeg","1811549","public-source","requires-owner-review","[""migration/phase9/source-inventory.jsonl""]","[""No Phase 9 Storage assignment exists. Historical accepted-skip evidence indicates Wix chrome, background, or decorative use; owner confirmation is deferred to Phase 14."",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"source-only:wix:asset-source:155d5332e7bfe95c5591c7ac278724c29dab4526b83f27328225c9c8c639daac","image","unknown","unresolved","","","","","skip","accepted-skip","","","","","155d5332e7bfe95c5591c7ac278724c29dab4526b83f27328225c9c8c639daac","source-155d5332e7bf.jpg","image/jpeg","128246","public-source","requires-owner-review","[""migration/phase9/source-inventory.jsonl""]","[""No Phase 9 Storage assignment exists. Historical accepted-skip evidence indicates Wix chrome, background, or decorative use; owner confirmation is deferred to Phase 14."",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"source-only:wix:asset-source:17d5a87a375c161ed105a7dc0554ec3f77f6c0e4a237b7f2a3b9f360905e628d","image","unknown","unresolved","","","","","skip","accepted-skip","","","","","17d5a87a375c161ed105a7dc0554ec3f77f6c0e4a237b7f2a3b9f360905e628d","source-17d5a87a375c.jpg","image/jpeg","671344","public-source","requires-owner-review","[""migration/phase9/source-inventory.jsonl""]","[""No Phase 9 Storage assignment exists. Historical accepted-skip evidence indicates Wix chrome, background, or decorative use; owner confirmation is deferred to Phase 14."",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"source-only:wix:asset-source:1dc835477143065fb534371882490f6f3bd28f0e24be7042f28ba33022fab68b","image","unknown","unresolved","","","","","skip","accepted-skip","","","","","1dc835477143065fb534371882490f6f3bd28f0e24be7042f28ba33022fab68b","source-1dc835477143.jpg","image/jpeg","77155","public-source","requires-owner-review","[""migration/phase9/source-inventory.jsonl""]","[""No Phase 9 Storage assignment exists. Historical accepted-skip evidence indicates Wix chrome, background, or decorative use; owner confirmation is deferred to Phase 14."",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"source-only:wix:asset-source:1f6b5c03923042d12cd7fd96a44fde53e7c7985f1096be8c7985334fe56d7077","image","unknown","unresolved","","","","","skip","accepted-skip","","","","","1f6b5c03923042d12cd7fd96a44fde53e7c7985f1096be8c7985334fe56d7077","source-1f6b5c039230.png","image/png","31489","public-source","requires-owner-review","[""migration/phase9/source-inventory.jsonl""]","[""No Phase 9 Storage assignment exists. Historical accepted-skip evidence indicates Wix chrome, background, or decorative use; owner confirmation is deferred to Phase 14."",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"source-only:wix:asset-source:3a95f9ad0aa6b483e0486904f2c818bf35e2a1995f3f306e10eb6993e5757561","image","unknown","unresolved","","","","","skip","accepted-skip","","","","","3a95f9ad0aa6b483e0486904f2c818bf35e2a1995f3f306e10eb6993e5757561","source-3a95f9ad0aa6.jpg","image/jpeg","224872","public-source","requires-owner-review","[""migration/phase9/source-inventory.jsonl""]","[""No Phase 9 Storage assignment exists. Historical accepted-skip evidence indicates Wix chrome, background, or decorative use; owner confirmation is deferred to Phase 14."",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"source-only:wix:asset-source:44fd9de1e333a4ac892b562c49771fedbc8f5eaaaac0bdefbeaca7801756b2ac","image","unknown","unresolved","","","","","skip","accepted-skip","","","","","44fd9de1e333a4ac892b562c49771fedbc8f5eaaaac0bdefbeaca7801756b2ac","source-44fd9de1e333.jpg","image/jpeg","724016","public-source","requires-owner-review","[""migration/phase9/source-inventory.jsonl""]","[""No Phase 9 Storage assignment exists. Historical accepted-skip evidence indicates Wix chrome, background, or decorative use; owner confirmation is deferred to Phase 14."",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"source-only:wix:asset-source:567200f9752d52c7cb43ce4d9d96c7d48da3df689ef3b3af70ba007c2b572676","image","unknown","unresolved","","","","","skip","accepted-skip","","","","","567200f9752d52c7cb43ce4d9d96c7d48da3df689ef3b3af70ba007c2b572676","source-567200f9752d.png","image/png","341809","public-source","requires-owner-review","[""migration/phase9/source-inventory.jsonl""]","[""No Phase 9 Storage assignment exists. Historical accepted-skip evidence indicates Wix chrome, background, or decorative use; owner confirmation is deferred to Phase 14."",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"source-only:wix:asset-source:5b63c1696bb88cd946c6d797d9545bfc15775c308437d59ab1f5552ef20a67ca","image","unknown","unresolved","","","","","skip","accepted-skip","","","","","5b63c1696bb88cd946c6d797d9545bfc15775c308437d59ab1f5552ef20a67ca","source-5b63c1696bb8.png","image/png","10638","public-source","requires-owner-review","[""migration/phase9/source-inventory.jsonl""]","[""No Phase 9 Storage assignment exists. Historical accepted-skip evidence indicates Wix chrome, background, or decorative use; owner confirmation is deferred to Phase 14."",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"source-only:wix:asset-source:65bc4292fe515c0ee8f0194ace85666bc7f386055f17f63f3100abd5cd38e127","image","unknown","unresolved","","","","","skip","accepted-skip","","","","","65bc4292fe515c0ee8f0194ace85666bc7f386055f17f63f3100abd5cd38e127","source-65bc4292fe51.png","image/png","275679","public-source","requires-owner-review","[""migration/phase9/source-inventory.jsonl""]","[""No Phase 9 Storage assignment exists. Historical accepted-skip evidence indicates Wix chrome, background, or decorative use; owner confirmation is deferred to Phase 14."",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
