caseId,scenario,expectedResult,allowedEnvironment,auditFingerprint,environment,releaseSha,tester,startedAt,completedAt,inputFixtureKey,actualResult,humanResult,evidenceHash,issueReference,cleanupState,notes
"UAT-01","Administrator login and logout","Correct login succeeds; logout clears access","staging|dedicated-uat|local-isolated","16cc962f1789720e5fe480bc22bf3d6188dc4cf6c3df7ef52d8f7c60cb26a855","","","","","","","","","","","",""
"UAT-02","Session persistence and expiry","Valid session persists; expired session fails closed","staging|dedicated-uat|local-isolated","022a1b03165612b4e22ecf605166fa8c38254e269fecefda60822609e3ddb18f","","","","","","","","","","","",""
"UAT-03","Unauthorized and inactive access","Page/API reads and mutations are denied","staging|dedicated-uat|local-isolated","48fb324e9ea1e4f420cf624cee094cb5f7be5e5414d87d8cce06ed353caf8cf0","","","","","","","","","","","",""
"UAT-04","Create Activity","One scoped draft is created once","staging|dedicated-uat|local-isolated","c7e2984f03828b5b03f21b6800b74093381f67c31f4004b6e58329d60e47c317","","","","","","","","","","","",""
"UAT-05","Edit and save draft","Valid fields persist; errors are safe","staging|dedicated-uat|local-isolated","098021c7e60ea51e416754c7a84991eb133c45f93eaafd5ffe7763b243235839","","","","","","","","","","","",""
"UAT-06","Publish Activity","Approved test draft becomes public once in the non-production UAT environment","staging|dedicated-uat|local-isolated","33dae3f917c762f5133bab460a66120533e7d5611a095c077016a7b2bbbaf205","","","","","","","","","","","",""
"UAT-07","Unpublish Activity","Public route becomes unavailable in the non-production UAT environment","staging|dedicated-uat|local-isolated","1c105ac0e03e9f97b7ff02105a0e620cc55236221ecf6a21a684fc3e6630d0dd","","","","","","","","","","","",""
"UAT-08","Image upload","Supported image stores privately and proxies safely","staging|dedicated-uat|local-isolated","abd26cbaf00d01de35f512d94ea0f4f44fcdd1ad609a03a93ada0db7eee824d7","","","","","","","","","","","",""
"UAT-09","Attachment upload and download","Supported attachment proxies/downloads safely","staging|dedicated-uat|local-isolated","c1a22f1c4f372d5b77fde3083e2dab7349f7e396c04f377f350c9dd3a2fe867d","","","","","","","","","","","",""
"UAT-10","Cover set, replace, and remove","Cover relation and proxy remain consistent","staging|dedicated-uat|local-isolated","22f97c28bb16af1d02051be308b8d45b8d5e41d1a78d220af53286a4cd9b8f3f","","","","","","","","","","","",""
"UAT-11","Image ordering","Order persists and public display matches","staging|dedicated-uat|local-isolated","b45c585cd0ac291a4681e37bd3f7dffe95cfefd9eb2da6304c0d666e43b870fa","","","","","","","","","","","",""
"UAT-12","External video","Valid HTTPS link displays; invalid input fails","staging|dedicated-uat|local-isolated","9efd645823c3cff10d1c1216e3a60836464f5e0c66c83b7ddb7af52144d116b6","","","","","","","","","","","",""
"UAT-13","Draft disclosure boundary","Draft data/assets are not publicly reachable","staging|dedicated-uat|local-isolated","7e3781eb45eac2ceec09a824c5e8bee2f59ad92bfa60b6b90084a2812f6745ab","","","","","","","","","","","",""
"UAT-14","Public content and asset proxy","Published page/proxy show only approved test data","staging|dedicated-uat|local-isolated","bf95b10397bc60dde35f1996ce696b9424c96ec3d4ff22b1f59cd673592ba01c","","","","","","","","","","","",""
"UAT-15","Mobile viewport and keyboard","Layout and controls remain usable","staging|dedicated-uat|local-isolated","9a7555b6c83f427804287689e0acde376bf892b6121cd221f157713e9be4dec8","","","","","","","","","","","",""
"UAT-16","Browser matrix","Required browsers meet critical flows","staging|dedicated-uat|local-isolated","7cdddd38ad257bc41a8b938561fe4b83ff10cf7e1464d7cba68d4e89b95c51b5","","","","","","","","","","","",""
"UAT-17","Error states","Network/database/validation errors fail safely","staging|dedicated-uat|local-isolated","b16ca911836fb4d0b5da0cfad3dd8ccc1cb5669b75a741350c141ca27b8182d2","","","","","","","","","","","",""
"UAT-18","Duplicate submission","Idempotence or visible conflict prevents duplicates","staging|dedicated-uat|local-isolated","bccfe3d10492c9917e3ae9e015372c125fed3a1592e34f3e9595a3a0eebd9859","","","","","","","","","","","",""
"UAT-19","Large, empty, and unsupported file","Upload is rejected without an orphan object","staging|dedicated-uat|local-isolated","8988180eb4b348974a243ca14927d5d28877c34ff579d08f9816a71b91558012","","","","","","","","","","","",""
"UAT-20","Owner content spot check","Human owner confirms selected content","staging|dedicated-uat|local-isolated","d953efbc140fa34ac138a24990393babf84ce37d9a56a853ce6e91fae92c0947","","","","","","","","","","","",""
"UAT-21","Personal and sensitive content","Human privacy review confirms or blocks","staging|dedicated-uat|local-isolated","2c61a18c82388aca92c4e74137ab7831f585f5c9207b895042799a31cdaec82a","","","","","","","","","","","",""
"UAT-22","Audit evidence","Sanitized evidence is complete and traceable","staging|dedicated-uat|local-isolated","66f4ae902eec9dba97111e915b840356b56318ae898e087036e08e6c5a0335e2","","","","","","","","","","","",""
"UAT-23","Cleanup and rollback readiness","Disposable data cleanup and rollback readiness are verified without production action","staging|dedicated-uat|local-isolated","43348310cf55329c79d8fba558cd1a19fd08eb9d2f5d078089ab266d48ffc658","","","","","","","","","","","",""
