stableRowId,canonicalRelationshipId,sourceEvidence,sourceSha256,sourceAssetKind,role,ownerKind,ownerMigrationKey,currentAutomatedClassification,proposedDecision,privacyStatus,reviewStatus,auditFingerprint,ownerDecision,ownerNotes,reviewer,reviewedAt,evidenceChecked,followUpAction,resolutionStatus,uatRelevance,cutoverBlocker
"p14-owner-007c4ed7003f109569053f56","wix:asset:wix:activity:r9q61:6166c4e00314d43173d4","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","438f1b4beb6586bbf9b8e29daf7fe5ded92b4c4a04360cb6d0b4c2bc385ec50b","document","attachment","activity","wix:activity:r9q61","requires-owner-review","manual-review-required","private-draft","requires-owner-review","50983c7122e4f04a88077ea4d842b3627db88331674f403aebee55d65c8b3b7d","","","","","","","","",""
"p14-owner-0120edd2f69718f0f0adf551","wix:asset:wix:activity:o3j0h:18c3ac26280ecd393526","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","b430da2aa2325a3b911795f829210db760fd2431baca9e811bc65fb060da01e7","image","cover","activity","wix:activity:o3j0h","requires-owner-review","manual-review-required","private-draft","requires-owner-review","68c3ed84ad8f894cecb726ed1ac8c3de99b3830ff3213a769cc5ba6159200336","","","","","","","","",""
"p14-owner-016bdb974d850bb84020569f","wix:asset:wix:activity:fuug2:efb84ab5982115086645","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","b2795bcc14e07aa3a302d004c14746a84841aaacf3ca51ded1ed5f6e8c245abd","image","cover","activity","wix:activity:fuug2","requires-owner-review","manual-review-required","private-draft","requires-owner-review","394fe2518c1a3a03b0297245566eb5eb0a8dec36ac7d79760679b29a1e13e56d","","","","","","","","",""
"p14-owner-021e3be884a4e947f93e1ef1","wix:asset:wix:activity:eove1:d32e0abf3357d30fa66f","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","a32a7eb3fd599e3c4a52bd9033cacce1ad82be8e74152718345a93eb7a554895","document","attachment","activity","wix:activity:eove1","requires-owner-review","manual-review-required","private-draft","requires-owner-review","4b48382b9d7db69b0737155b71c4913382fb16bdfb082723befbdbf7426a1ac2","","","","","","","","",""
"p14-owner-02926d5620205c80f60153d4","wix:asset:wix:activity:ay10r:a6e0d46b5dfdc4e9631f","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","b1aba68bbf014cdbdc03b0f594c779a8aa4e59c13b7fa1c18cde2624763c3bdd","document","attachment","activity","wix:activity:ay10r","requires-owner-review","manual-review-required","private-draft","requires-owner-review","a3d856358bf2c30e78de165e710ba12ad2285f173606a4cfcee1fea186ceb91a","","","","","","","","",""
"p14-owner-0385019907365c79eedee630","wix:asset:wix:activity:lb7xk:db072f26fe62bbc05358","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","0da65f99e640ace4025ac9d46c175fce2ce69118366e34cbf43926e280777c98","document","attachment","activity","wix:activity:lb7xk","requires-owner-review","manual-review-required","private-draft","requires-owner-review","c55ca66fa98df98cd0570c474d8718fa39b366946717d0f72362556b2cacd0f0","","","","","","","","",""
"p14-owner-04cfcede626955708cd4446e","wix:asset:wix:activity:fxl97:8930f65650d2b4c6b1d4","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","11f9745e9a11ecf0b2d14c0c9fe3d2c9df84bb175c30f5329251d5a452608723","image","gallery","activity","wix:activity:fxl97","requires-owner-review","manual-review-required","private-draft","requires-owner-review","b0949657ce7848c5724ad76e77b363c55512ea4f0612c916a07cb3d708734523","","","","","","","","",""
"p14-owner-0539f85c4b40190a89de3ce6","wix:asset:wix:activity:mwqi8:e5066247ba2f0e99a935","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","048d52f4af8f8c25163c86bc3643ffdf07df573ed372bdab64466ac08f1f11b4","image","gallery","activity","wix:activity:mwqi8","requires-owner-review","manual-review-required","private-draft","requires-owner-review","5f72c9fbeb1513d19686ae5cd2d2b336d0593f2936fa5b522e5e4a5a3356166c","","","","","","","","",""
"p14-owner-05765050f9842e98bf2458fe","wix:asset:wix:activity:eeuqi:659bfe21950417ade42d","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","300be5b026b4c3d0ceb7b3c4c690a8b73c927291aab7a240d8d15a38ed4e2a44","document","attachment","activity","wix:activity:eeuqi","requires-owner-review","manual-review-required","private-draft","requires-owner-review","e5cc7600fdc3a4e8e87b4fb01b2f8bf9ccc1b9a0241bc6719f18727528a207f4","","","","","","","","",""
"p14-owner-05b3c210f84d73c58a1a8162","wix:asset:wix:file:5f3e6d8ae5c8f95e2fddd990:5f3e6d8ae5c8f95e2fdd","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","5f3e6d8ae5c8f95e2fddd99026716a029101033a901ccafe501461b38a1f8bae","document","download","file","wix:file:5f3e6d8ae5c8f95e2fddd990","requires-owner-review","manual-review-required","private-draft","requires-owner-review","09336ccaec7e4dd1193c435ec417f0841b72470a895aa53a79744c006d061add","","","","","","","","",""
"p14-owner-07ffec2c6139dbe8c2b7a015","wix:asset:wix:activity:xhbeh:26ca9e9819dcf964467b","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","b80059e1a939067b6575e828b7195f3e0aa6d4d6329f452a4a1925be2a7a661e","document","attachment","activity","wix:activity:xhbeh","requires-owner-review","manual-review-required","private-draft","requires-owner-review","be442f8060979f98a199b6d71460d48bec385f56874254c43a3da1047e692423","","","","","","","","",""
"p14-owner-08797096169e13bcf80ded0d","wix:asset:wix:activity:acrjz:44572b4bc21b3551e2c7","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","8d8486f7faf473ff6936477b932ddde30b5930fc459963fa36d7ec16c35b5a4d","document","attachment","activity","wix:activity:acrjz","requires-owner-review","manual-review-required","private-draft","requires-owner-review","3aeab75cb48390c3c28e4536e73a7a2b0b0b9bef1350af71d54889ac2fa5d640","","","","","","","","",""
"p14-owner-092b2f734c06726cca4ca821","wix:asset:wix:activity:ra9kd:52c145cb042144079df0","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","63a0983ebe2ec86e7bb9796feb88c48e2df229e5281e2819abed15df1dc92649","image","gallery","activity","wix:activity:ra9kd","requires-owner-review","manual-review-required","private-draft","requires-owner-review","37e01f771fc9f77c92344b0d709f9e09cd7ac787d3a4e554dd79f70471108107","","","","","","","","",""
