stableId,domain,sanitizedIdentity,productionEvidenceHash,productionEvidenceReference,reason,proposedClassification,automationConfidence,humanConfirmationRequired,cutoverImpact,auditFingerprint,finalHumanDisposition,reviewer,reviewedAt,humanNotes
"p14-production-only-00b15a18b4bc4cca712bcf65","editorial-redirect","editorial-redirect:1e04fb086b33000922c9a70a","4067fcdcc6b4a57fb1f36cedd319d01ef1f91369050f48f3020307db1608cd9e","private:normalized.v1.json#contentRecords/editorial-redirect:1e04fb086b33000922c9a70a","Current redirect decision metadata is expected system state outside the Phase 13 target/asset comparison set; it is not an active redirect.","expected_system_record","high","owner","redirect-disposition-confirmation-required","f76e4022132a9e6a87fe574eee5e4523e4f9ed267729f70361bdfcb9f38365f3","","","",""
"p14-production-only-027e37df9e583311a44bc176","editorial-redirect","editorial-redirect:f731252fd43b5cd78866923a","419dcd8d4d98543469b19ec51654d1fce5e0158ee3954f450348fc918c9730f7","private:normalized.v1.json#contentRecords/editorial-redirect:f731252fd43b5cd78866923a","Current redirect decision metadata is expected system state outside the Phase 13 target/asset comparison set; it is not an active redirect.","expected_system_record","high","owner","redirect-disposition-confirmation-required","79459636b0cbf5fc7527fe9aca1f0abdac55833da8a02afc506cd968b11eb732","","","",""
"p14-production-only-02d71e3c0abeaeff5808bde7","editorial-target","editorial-target:7e446514c108759b282be4d0","b7db1f3283a5378ee67adc29956dc8866bba90b534eee7e58193a78c2f5f1dab","private:normalized.v1.json#contentRecords/editorial-target:7e446514c108759b282be4d0","Current editorial control metadata represents a matched imported target but has no separate Phase 13 comparison row.","expected_operational_metadata","high","owner","owner-confirmation-required-before-cutover","9045de9a3333be03ab99583a9df75df62ac606cf76b1f17ddedbb3350102902e","","","",""
"p14-production-only-02de64f91200c9074e676b7f","editorial-redirect","editorial-redirect:502719147f8fc9595d287f7b","79fe8227c33a48f5fec7acef7fb267b9d565b55e10bb4c7b989c2af8c48cd530","private:normalized.v1.json#contentRecords/editorial-redirect:502719147f8fc9595d287f7b","Current redirect decision metadata is expected system state outside the Phase 13 target/asset comparison set; it is not an active redirect.","expected_system_record","high","owner","redirect-disposition-confirmation-required","1bf112fde03ff225c383dd84bb2a3794b8038546a74203e4aba5ea214753d9bc","","","",""
"p14-production-only-0349e323b31aba86b3d42883","editorial-target","editorial-target:2ee15a5756b8b3b459c42695","53acddda46d85bc21dae7011ec8b06440a7b333ee6159384419b5f5b22b805c8","private:normalized.v1.json#contentRecords/editorial-target:2ee15a5756b8b3b459c42695","Current editorial control metadata represents a matched imported target but has no separate Phase 13 comparison row.","expected_operational_metadata","high","owner","owner-confirmation-required-before-cutover","32ee154b0937fab20b4ec30d3c2157718d71315dc5db9454a3a6fb3b38f2c969","","","",""
"p14-production-only-0390b09a4c0868ad4e335338","editorial-redirect","editorial-redirect:597e590621a214c46f44b23b","e3f32ede8565972e8bb61ce6268dbba95fd2def4e6700aa0aa86a46bb12c90ee","private:normalized.v1.json#contentRecords/editorial-redirect:597e590621a214c46f44b23b","Current redirect decision metadata is expected system state outside the Phase 13 target/asset comparison set; it is not an active redirect.","expected_system_record","high","owner","redirect-disposition-confirmation-required","082e8fce4abfe56a386d6b2d5fe6298da87ce85b8d68ad5faed8ad1272ce626c","","","",""
"p14-production-only-060b747a00e3efeec9883a6a","editorial-target","editorial-target:7d9542abad37e10717e2b6eb","30a3e96674cc9bea2f468bae084d2b9cffab2007bf9e0c854c304c9fc4636c79","private:normalized.v1.json#contentRecords/editorial-target:7d9542abad37e10717e2b6eb","Current editorial control metadata represents a matched imported target but has no separate Phase 13 comparison row.","expected_operational_metadata","high","owner","owner-confirmation-required-before-cutover","81ca8fa0d002109cd30d370dd0d892c411be704b5e982632825bac7c15c347bc","","","",""
"p14-production-only-07536136b9175ae85e0719aa","editorial-redirect","editorial-redirect:19964eae1ea3b7917d0ce3fe","aad3ad28190b9688f4f1cd71216dc4b7a3006a59458917678dd9e2e77ea98fad","private:normalized.v1.json#contentRecords/editorial-redirect:19964eae1ea3b7917d0ce3fe","Current redirect decision metadata is expected system state outside the Phase 13 target/asset comparison set; it is not an active redirect.","expected_system_record","high","owner","redirect-disposition-confirmation-required","a294740f2e6bfd7cf5d4b66a6ac6498a898c136d2491701c63084c4edade0bc5","","","",""
"p14-production-only-07a6c170088c0ae2de3cfbc6","editorial-target","editorial-target:6c6fc1e8efda89172cdfe1f1","3f7fcfc49cae0b54bef0eb21c0a287a2f2aa2098bac0fbcce9649e541d48aaa2","private:normalized.v1.json#contentRecords/editorial-target:6c6fc1e8efda89172cdfe1f1","Current editorial control metadata represents a matched imported target but has no separate Phase 13 comparison row.","expected_operational_metadata","high","owner","owner-confirmation-required-before-cutover","109a398e30f599a18b3925cfa7ebbed55d48bf5ddaaa4c7e629cbacdaa0ee2f1","","","",""
"p14-production-only-0a18dc42968613f2b75971e8","editorial-redirect","editorial-redirect:a5d1a06f392dc652d5275229","d9dfe51b5430084cdafe5617de07363591c337e352e955f52f27418d47f7415c","private:normalized.v1.json#contentRecords/editorial-redirect:a5d1a06f392dc652d5275229","Current redirect decision metadata is expected system state outside the Phase 13 target/asset comparison set; it is not an active redirect.","expected_system_record","high","owner","redirect-disposition-confirmation-required","cc7c18d514147229fea86b689525dafdd58ec3cd2727ae5c607e6819d1a20a5c","","","",""
