reconciliationId,classification,recordKind,recordKey,sourceIdentity,sourceCountDomain,productionCountDomain,duplicateStatistic,uniqueStatistic,evidenceReference,reason,decisionBoundary
"p14-28f42ce7de74603fc4fc8b60","accepted_skip","relationship","relationship:accepted-skip","source:accepted-skip","accepted_skip_or_unassigned_unique_sources","production_relationship","","","synthetic:accepted-skip|sanitized-inventory:relationships","Accepted-skip evidence matches and still requires owner confirmation.","owner-decision-required"
"p14-e704c90725b97a800fb73c03","asset_identity_mismatch","storage-object","object:checksum-change","source:asset:checksum","migrated_storage_objects","production_storage-object","","","synthetic:checksum-mismatch|sanitized-inventory:storageObjects","Storage checksum differs from the offline evidence.","automated-classification-owner-decision-required"
"p14-d12518021c69aada71c73fa7","evidence_discrepancy","evidence-discrepancy","P14-DISC-001","","narrative:28","manifest:27","","","migration/phase9/assets-summary.md|migration/phase9/assets-manifest.jsonl","The Phase 9 narrative count and authoritative manifest count remain unresolved.","owner-and-authorized-production-evidence-required"
"p14-69cd805098ef39a272c0ba69","matched","content","content:activity:match","source:activity:match","imported_target_records_draft","production_content","","","synthetic:exact-match|sanitized-inventory:contentRecords","Stable identity and all comparable fingerprints match.","automated-match-no-publication-decision"
"p14-5f8df825576a23603b071e60","matched","relationship","relationship:match","source:asset:match","canonical_relationships","production_relationship","","","synthetic:relationship-match|sanitized-inventory:relationships","Stable identity and all comparable fingerprints match.","automated-match-no-publication-decision"
"p14-09758eba672a0721c250acd1","matched","storage-object","object:match","source:asset:match","migrated_storage_objects","production_storage-object","","","synthetic:object-match|sanitized-inventory:storageObjects","Stable identity and all comparable fingerprints match.","automated-match-no-publication-decision"
"p14-24ea0b886cd035dc2c594082","metadata_mismatch","content","content:post:metadata-change","source:post:metadata","imported_target_records_draft","production_content","","","synthetic:metadata-mismatch|sanitized-inventory:contentRecords","Allowlisted metadata fingerprint differs.","automated-classification-owner-decision-required"
"p14-3323409ebcc5af211f1d61d8","offline_only","content","content:offline-only","source:offline-only","imported_target_records_draft","","","","synthetic:offline-only","Historical offline evidence has no matching sanitized inventory record.","automated-classification-owner-decision-required"
"p14-32794d2e106f9fb1de515767","offline_only","storage-object","object:missing","source:asset:missing","migrated_storage_objects","","","","synthetic:asset-object-missing","Historical offline evidence has no matching sanitized inventory record.","automated-classification-owner-decision-required"
"p14-1d045e71d68c0ff19113c80d","production_only","content","content:activity-asset:one","source:asset:one","","production_content","","","sanitized-inventory:contentRecords","Record exists only in the sanitized inventory.","automated-classification-owner-decision-required"
"p14-40d2230536b49ce73f1d6716","production_only","content","content:activity-image:legacy","source:legacy-image","","production_content","","","sanitized-inventory:contentRecords","Record exists only in the sanitized inventory.","automated-classification-owner-decision-required"
"p14-498b29e63138ea55e825bd9f","production_only","content","content:activity-video:one","source:video:one","","production_content","","","sanitized-inventory:contentRecords","Record exists only in the sanitized inventory.","automated-classification-owner-decision-required"
"p14-85583365c2227f07aacbe4e1","production_only","content","content:category:unknown","source:category:unknown","","production_content","","","sanitized-inventory:contentRecords","Record exists only in the sanitized inventory.","automated-classification-owner-decision-required"
"p14-954d3095a1e18ed9d2d28f07","production_only","content","content:editorial-redirect:one","source:redirect:one","","production_content","","","sanitized-inventory:contentRecords","Record exists only in the sanitized inventory.","automated-classification-owner-decision-required"
"p14-fbce6345f94e61558f4396af","production_only","content","content:editorial-target:one","source:editorial:one","","production_content","","","sanitized-inventory:contentRecords","Record exists only in the sanitized inventory.","automated-classification-owner-decision-required"
"p14-1dc8dd99c1e716cad11fd34d","production_only","content","content:faq:production-only","source:faq:production-only","","production_content","","","sanitized-inventory:contentRecords","Record exists only in the sanitized inventory.","automated-classification-owner-decision-required"
"p14-d576d81b30fa163109ea5489","production_only","content","content:post:duplicate-a","source:duplicate","","production_content","","","sanitized-inventory:contentRecords","Record exists only in the sanitized inventory.","automated-classification-owner-decision-required"
"p14-6aa26f468d2b4f8de9e2a08f","production_only","content","content:post:duplicate-b","source:duplicate","","production_content","","","sanitized-inventory:contentRecords","Record exists only in the sanitized inventory.","automated-classification-owner-decision-required"
"p14-a600d26824b09adf3650538d","production_only","content","content:site-settings:singleton","source:settings","","production_content","","","sanitized-inventory:contentRecords","Record exists only in the sanitized inventory.","automated-classification-owner-decision-required"
"p14-35eedb516330728f49ea6a5f","production_only","content","content:year-summary:one","source:year:one","","production_content","","","sanitized-inventory:contentRecords","Record exists only in the sanitized inventory.","automated-classification-owner-decision-required"
"p14-09168b8207bfaf62767bdc5d","production_only","relationship","relationship:multi:1","source:asset:multi","","production_relationship","","","sanitized-inventory:relationships","Record exists only in the sanitized inventory.","automated-classification-owner-decision-required"
"p14-4d63a148a598e86154bc96ab","production_only","relationship","relationship:multi:2","source:asset:multi","","production_relationship","","","sanitized-inventory:relationships","Record exists only in the sanitized inventory.","automated-classification-owner-decision-required"
"p14-aba23e9008754baabf44499b","production_only","storage-object","object:multiple-assignment","source:asset:multi","","production_storage-object","","","sanitized-inventory:storageObjects","Record exists only in the sanitized inventory.","automated-classification-owner-decision-required"
"p14-2d7c74e0de8c388f1f0acca1","production_only","storage-object","object:orphan","source:asset:orphan","","production_storage-object","","","sanitized-inventory:storageObjects","Record exists only in the sanitized inventory.","automated-classification-owner-decision-required"
